name,description
EV Model X 1,"Carro elétrico revolucionário com autonomia de 564 km e aceleração de 0 a 100 km/h em 2.65 s"
EV Model 3 2,"Carro elétrico moderno com autonomia de 429 km e aceleração de 0 a 100 km/h em 3.45 s"
EV Cybertruck 3,"Carro elétrico econômico com autonomia de 429 km e aceleração de 0 a 100 km/h em 3.49 s"
EV Semi 4,"Carro elétrico econômico com autonomia de 330 km e aceleração de 0 a 100 km/h em 3.09 s"
EV Semi 5,"Carro elétrico futurístico com autonomia de 315 km e aceleração de 0 a 100 km/h em 2.76 s"
EV Cybertruck 6,"Carro elétrico robusto com autonomia de 368 km e aceleração de 0 a 100 km/h em 2.77 s"
EV Cybertruck 7,"Carro elétrico incrível com autonomia de 292 km e aceleração de 0 a 100 km/h em 3.81 s"
EV Roadster 8,"Carro elétrico elegante com autonomia de 434 km e aceleração de 0 a 100 km/h em 3.86 s"
EV Model X 9,"Carro elétrico econômico com autonomia de 418 km e aceleração de 0 a 100 km/h em 2.17 s"
EV EV Concept 10,"Carro elétrico moderno com autonomia de 381 km e aceleração de 0 a 100 km/h em 2.25 s"
EV Model 3 11,"Carro elétrico robusto com autonomia de 427 km e aceleração de 0 a 100 km/h em 2.08 s"
EV Cybertruck 12,"Carro elétrico econômico com autonomia de 415 km e aceleração de 0 a 100 km/h em 2.00 s"
EV Cybertruck 13,"Carro elétrico revolucionário com autonomia de 478 km e aceleração de 0 a 100 km/h em 2.05 s"
EV Model S 14,"Carro elétrico potente com autonomia de 436 km e aceleração de 0 a 100 km/h em 2.19 s"
EV Model X 15,"Carro elétrico econômico com autonomia de 427 km e aceleração de 0 a 100 km/h em 3.71 s"
EV Model S 16,"Carro elétrico elegante com autonomia de 288 km e aceleração de 0 a 100 km/h em 2.27 s"
EV Model Y 17,"Carro elétrico moderno com autonomia de 398 km e aceleração de 0 a 100 km/h em 2.32 s"
EV Model 3 18,"Carro elétrico revolucionário com autonomia de 273 km e aceleração de 0 a 100 km/h em 2.07 s"
EV Semi 19,"Carro elétrico futurístico com autonomia de 237 km e aceleração de 0 a 100 km/h em 2.25 s"
EV Semi 20,"Carro elétrico incrível com autonomia de 565 km e aceleração de 0 a 100 km/h em 3.16 s"
EV Model X 21,"Carro elétrico econômico com autonomia de 414 km e aceleração de 0 a 100 km/h em 3.87 s"
EV EV Concept 22,"Carro elétrico moderno com autonomia de 542 km e aceleração de 0 a 100 km/h em 2.56 s"
EV EV Concept 23,"Carro elétrico econômico com autonomia de 298 km e aceleração de 0 a 100 km/h em 2.05 s"
EV Roadster 24,"Carro elétrico elegante com autonomia de 246 km e aceleração de 0 a 100 km/h em 3.45 s"
EV Model 3 25,"Carro elétrico moderno com autonomia de 448 km e aceleração de 0 a 100 km/h em 2.03 s"
EV Model S 26,"Carro elétrico futurístico com autonomia de 426 km e aceleração de 0 a 100 km/h em 2.98 s"
EV Model X 27,"Carro elétrico econômico com autonomia de 435 km e aceleração de 0 a 100 km/h em 3.98 s"
EV Model X 28,"Carro elétrico elegante com autonomia de 395 km e aceleração de 0 a 100 km/h em 3.95 s"
EV Model Y 29,"Carro elétrico futurístico com autonomia de 384 km e aceleração de 0 a 100 km/h em 2.78 s"
